scene,frame,frame_idx,original_path,cleaned_path,ego_x,ego_y,ego_z,ego_yaw,num_points_original,num_points_cleaned,points_removed_pct,ground_z_min,ground_z_max,ground_z_mean,hag_min,hag_max,hag_mean,x_min,x_max,y_min,y_max,z_min,z_max,threshold_m,tile_size_m,Antenna_original,Antenna_cleaned,Cable_original,Cable_cleaned,Electric Pole_original,Electric Pole_cleaned,Wind Turbine_original,Wind Turbine_cleaned,noise_original,noise_cleaned
scene_1,frame_017,17,/content/hackathon/processed/scene_1/frame_017.npz,/content/hackathon/cleaned/scene_1/frame_017.npz,-101087.3359375,-136317.328125,12768.3955078125,-177.70062255859375,235563,94669,59.81,-31.30061912536621,2.682551383972168,-17.646933431024056,2.000063896179199,41.121684074401855,6.553020851014192,-178.35157775878906,297.91473388671875,-150.10435485839844,215.28382873535156,-27.243358612060547,29.118518829345703,2.0,5.0,191,163,0,0,0,0,0,0,235372,94506
scene_1,frame_018,18,/content/hackathon/processed/scene_1/frame_018.npz,/content/hackathon/cleaned/scene_1/frame_018.npz,-100036.1484375,47913.05078125,10373.7490234375,23.32222557067871,262198,113056,56.88,-65.53395080566406,13.455236434936523,-16.686315901670053,2.000059127807617,28.23550796508789,5.897838805607098,8.129205703735352,287.73651123046875,-143.0558624267578,205.3880615234375,-58.58034896850586,14.1090726852417,2.0,5.0,230,188,0,0,0,0,0,0,261968,112868
scene_1,frame_019,19,/content/hackathon/processed/scene_1/frame_019.npz,/content/hackathon/cleaned/scene_1/frame_019.npz,-99062.65625,-63374.9296875,10000.0,164.79962158203125,261763,143122,45.32,-48.482418060302734,9.916193962097168,-21.869324566578474,2.0000152587890625,43.07335567474365,5.749154071426192,-5.574892520904541,299.8720703125,-197.29852294921875,201.87486267089844,-40.22548294067383,28.184791564941406,2.0,5.0,210,194,12,5,202,140,0,0,261339,142783
scene_1,frame_020,20,/content/hackathon/processed/scene_1/frame_020.npz,/content/hackathon/cleaned/scene_1/frame_020.npz,-98533.1875,-29098.298828125,10292.484375,-158.3688507080078,255772,110756,56.7,-50.098785400390625,55.53762435913086,-26.97782133710068,2.0000381469726562,105.2245864868164,9.201984050393742,36.0485954284668,297.5185546875,-182.387451171875,197.09054565429688,-41.67994689941406,74.67546844482422,2.0,5.0,0,0,306,260,5661,5437,3020,2834,246785,102225
scene_1,frame_021,21,/content/hackathon/processed/scene_1/frame_021.npz,/content/hackathon/cleaned/scene_1/frame_021.npz,-92469.6953125,-164425.765625,15589.9541015625,76.2470703125,218929,31273,85.72,-55.227516174316406,-6.907131195068359,-32.01731923110359,2.0003509521484375,56.82483386993408,7.987685381577238,87.14051818847656,296.37054443359375,-179.2703094482422,202.45213317871094,-49.39085388183594,15.11058521270752,2.0,5.0,676,652,0,0,0,0,0,0,218253,30621
scene_1,frame_022,22,/content/hackathon/processed/scene_1/frame_022.npz,/content/hackathon/cleaned/scene_1/frame_022.npz,-92232.8125,-149011.0,13479.109375,-3.9687068462371826,298951,108015,63.87,-27.851091384887695,26.37787437438965,-14.0676553772452,2.0000171661376953,33.53654861450195,7.6528216385404795,24.41613006591797,299.287109375,-174.9945831298828,127.78765106201172,-24.549278259277344,29.02798843383789,2.0,5.0,13766,12735,0,0,0,0,0,0,285185,95280
scene_1,frame_023,23,/content/hackathon/processed/scene_1/frame_023.npz,/content/hackathon/cleaned/scene_1/frame_023.npz,-88649.40625,-57051.55078125,10214.736328125,-45.13181686401367,257158,91548,64.4,-34.001216888427734,49.44295883178711,-15.732109006771118,2.0000686645507812,73.87767028808594,7.20498090709664,25.795547485351562,298.38739013671875,-284.11199951171875,188.10806274414062,-31.346925735473633,93.5519790649414,2.0,5.0,0,0,1,1,0,0,1705,1440,255452,90107
scene_1,frame_024,24,/content/hackathon/processed/scene_1/frame_024.npz,/content/hackathon/cleaned/scene_1/frame_024.npz,-86911.828125,-130535.2109375,12167.974609375,-95.62692260742188,282381,101365,64.1,-21.371429443359375,23.263906478881836,-14.219065344930394,2.0001206398010254,47.65161180496216,7.133581042470191,19.210220336914062,287.39471435546875,-145.9864044189453,193.6827392578125,-19.370553970336914,51.657745361328125,2.0,5.0,423,384,0,0,0,0,0,0,281958,100981
scene_1,frame_025,25,/content/hackathon/processed/scene_1/frame_025.npz,/content/hackathon/cleaned/scene_1/frame_025.npz,-86628.0859375,-136055.703125,12074.484375,-99.15970611572266,289966,81885,71.76,-16.037269592285156,28.723609924316406,-9.92171597882769,2.000067710876465,48.56990909576416,6.504445638672646,14.032773971557617,248.1637725830078,-148.0165252685547,157.7431182861328,-14.037129402160645,52.48902893066406,2.0,5.0,899,814,0,0,0,0,0,0,289067,81071
scene_1,frame_026,26,/content/hackathon/processed/scene_1/frame_026.npz,/content/hackathon/cleaned/scene_1/frame_026.npz,-85595.5859375,53379.98046875,10000.0,43.75777053833008,271270,124112,54.25,-49.725791931152344,14.031205177307129,-28.563426043399556,2.000011444091797,18.751235008239746,7.894765782013651,17.74839973449707,299.59564208984375,-143.9591827392578,171.2628936767578,-47.724815368652344,18.414079666137695,2.0,5.0,19324,14793,0,0,0,0,0,0,251946,109319
scene_1,frame_027,27,/content/hackathon/processed/scene_1/frame_027.npz,/content/hackathon/cleaned/scene_1/frame_027.npz,-85566.75,-18547.669921875,10000.0,-171.91676330566406,266940,111724,58.15,-47.12171173095703,56.92731475830078,-33.27916540638371,2.0000228881835938,74.93272018432617,8.343891288146525,-179.24551391601562,299.9031066894531,-243.13999938964844,195.11563110351562,-44.02464294433594,69.83413696289062,2.0,5.0,3154,2779,332,317,308,293,31,16,263115,108319
scene_1,frame_028,28,/content/hackathon/processed/scene_1/frame_028.npz,/content/hackathon/cleaned/scene_1/frame_028.npz,-84915.3359375,-93814.7421875,10689.1591796875,42.368202209472656,265685,130957,50.71,-39.47447967529297,44.13262176513672,-15.0678407446162,2.0001163482666016,106.9451732635498,6.949352897304733,14.270486831665039,297.3976135253906,-180.2422637939453,187.63951110839844,-31.319271087646484,86.17040252685547,2.0,5.0,3916,3850,0,0,0,0,1703,1470,260066,125637
scene_1,frame_029,29,/content/hackathon/processed/scene_1/frame_029.npz,/content/hackathon/cleaned/scene_1/frame_029.npz,-84102.0703125,53529.48828125,10000.0,92.4236068725586,292495,123421,57.8,-43.75538635253906,25.517929077148438,-21.127173324842396,2.0000267028808594,19.323555946350098,7.2864285441427645,10.465407371520996,232.09518432617188,-148.01168823242188,164.3599853515625,-40.905696868896484,31.142333984375,2.0,5.0,27585,18710,0,0,0,0,0,0,264910,104711
scene_1,frame_030,30,/content/hackathon/processed/scene_1/frame_030.npz,/content/hackathon/cleaned/scene_1/frame_030.npz,-82847.03125,55961.34375,10000.0,-137.4200439453125,281479,92777,67.04,-54.69821548461914,41.02779006958008,-24.77199177257663,2.0001049041748047,19.237252473831177,8.203257167936174,15.476258277893066,298.60552978515625,-206.0966339111328,185.22775268554688,-52.387577056884766,50.45096206665039,2.0,5.0,19297,15630,0,0,0,0,0,0,262182,77147
scene_1,frame_031,31,/content/hackathon/processed/scene_1/frame_031.npz,/content/hackathon/cleaned/scene_1/frame_031.npz,-80904.046875,-100929.4140625,11010.845703125,-149.68438720703125,258324,102087,60.48,-29.917861938476562,11.134126663208008,-12.542079418281087,2.0001168251037598,32.23027849197388,7.188767801337708,-223.85177612304688,272.6536560058594,-150.2044677734375,180.8743133544922,-23.117961883544922,35.35639572143555,2.0,5.0,147,123,0,0,0,0,0,0,258177,101964
scene_1,frame_032,32,/content/hackathon/processed/scene_1/frame_032.npz,/content/hackathon/cleaned/scene_1/frame_032.npz,-77521.1796875,-88575.671875,10387.4404296875,64.05915069580078,267436,112549,57.92,-37.7640495300293,40.90814208984375,-17.334612512923727,2.0000247955322266,105.01439666748047,9.144130470205221,17.83873176574707,295.5793762207031,-192.57012939453125,101.71975708007812,-32.975311279296875,71.59090423583984,2.0,5.0,0,0,0,0,0,0,5202,5039,262234,107510
scene_1,frame_033,33,/content/hackathon/processed/scene_1/frame_033.npz,/content/hackathon/cleaned/scene_1/frame_033.npz,-76505.765625,-74175.2578125,10000.0,-7.4287567138671875,287608,115177,59.95,-35.24708938598633,22.35664176940918,-21.15679376416272,2.000030517578125,66.68159866333008,9.006891196531198,34.18315124511719,294.9554138183594,-201.398681640625,183.25477600097656,-31.612354278564453,45.09314727783203,2.0,5.0,0,0,180,139,0,0,16182,11271,271246,103767
scene_1,frame_034,34,/content/hackathon/processed/scene_1/frame_034.npz,/content/hackathon/cleaned/scene_1/frame_034.npz,-72800.3046875,-48024.296875,10000.0,-85.90030670166016,261537,111666,57.3,-35.133541107177734,49.90281295776367,-21.38443156936125,2.000101089477539,107.62078475952148,7.162859964533786,19.272382736206055,296.6725158691406,-202.2294464111328,193.04400634765625,-31.470788955688477,97.0616226196289,2.0,5.0,0,0,138,96,0,0,1410,1257,259989,110313
scene_1,frame_035,35,/content/hackathon/processed/scene_1/frame_035.npz,/content/hackathon/cleaned/scene_1/frame_035.npz,-65866.171875,7594.62744140625,10000.0,7.7914204597473145,215863,86334,60.01,-56.56825256347656,-16.952892303466797,-36.5457689383684,2.0000247955322266,48.56863069534302,6.925425362353306,56.538604736328125,295.0921936035156,-194.22030639648438,193.942138671875,-49.1976318359375,5.140411853790283,2.0,5.0,1009,964,750,703,251,237,0,0,213853,84430
scene_1,frame_036,36,/content/hackathon/processed/scene_1/frame_036.npz,/content/hackathon/cleaned/scene_1/frame_036.npz,-64603.41015625,-24595.111328125,10000.0,-14.343361854553223,240959,81698,66.09,-42.99895095825195,-6.862011432647705,-25.021894751712033,2.0000267028808594,49.40630912780762,8.113002934321994,35.1569709777832,297.343994140625,-163.02076721191406,190.78115844726562,-35.24539566040039,23.904739379882812,2.0,5.0,8720,7380,56,29,0,0,0,0,232183,74289
scene_1,frame_037,37,/content/hackathon/processed/scene_1/frame_037.npz,/content/hackathon/cleaned/scene_1/frame_037.npz,-63776.83984375,59840.0859375,10000.0,63.21255111694336,264043,108527,58.9,-26.717863082885742,20.329063415527344,-17.769900208569144,2.000014305114746,18.82429313659668,7.546400946176137,27.282878875732422,251.0435028076172,-87.98400115966797,192.83145141601562,-24.712068557739258,29.698944091796875,2.0,5.0,0,0,0,0,0,0,0,0,264043,108527
scene_1,frame_038,38,/content/hackathon/processed/scene_1/frame_038.npz,/content/hackathon/cleaned/scene_1/frame_038.npz,-63424.3515625,-7159.0859375,10000.0,-24.955459594726562,242480,104514,56.9,-41.84237289428711,21.337902069091797,-27.754734941800802,2.0000133514404297,94.50119590759277,9.345964836345177,17.6728458404541,288.145751953125,-176.390869140625,199.82708740234375,-39.61953353881836,67.8551254272461,2.0,5.0,0,0,2900,713,0,0,5545,5246,234035,98555
scene_1,frame_039,39,/content/hackathon/processed/scene_1/frame_039.npz,/content/hackathon/cleaned/scene_1/frame_039.npz,-62918.9609375,10328.9248046875,10000.0,170.4125213623047,209250,87412,58.23,-60.293846130371094,50.054195404052734,-36.574789227847894,2.000152587890625,98.54813385009766,8.159909923778182,-189.42970275878906,298.4971008300781,-203.02682495117188,173.2569580078125,-52.37880325317383,70.58992767333984,2.0,5.0,120,67,374,201,2071,1830,2400,2111,204285,83203
scene_1,frame_040,40,/content/hackathon/processed/scene_1/frame_040.npz,/content/hackathon/cleaned/scene_1/frame_040.npz,-59958.98828125,44796.69921875,10544.087890625,-33.46106719970703,222333,93969,57.74,-65.9146957397461,20.342214584350586,-37.58620545569831,2.0000076293945312,101.31232070922852,8.88423394762769,9.953048706054688,298.8016052246094,-202.75640869140625,198.6956787109375,-61.492218017578125,58.70216751098633,2.0,5.0,0,0,48,36,3,2,5289,5136,216993,88795
scene_1,frame_041,41,/content/hackathon/processed/scene_1/frame_041.npz,/content/hackathon/cleaned/scene_1/frame_041.npz,-56111.37890625,-8927.05859375,10000.0,3.9625816345214844,234027,115444,50.67,-43.65604782104492,-10.67066764831543,-28.33436711692803,2.0000343322753906,66.71313667297363,9.451669584967288,36.19993209838867,295.0703430175781,-194.81292724609375,179.79151916503906,-37.3205680847168,39.81950378417969,2.0,5.0,0,0,0,0,0,0,25342,21436,208685,94008
scene_1,frame_042,42,/content/hackathon/processed/scene_1/frame_042.npz,/content/hackathon/cleaned/scene_1/frame_042.npz,-53179.1953125,-127628.2578125,14848.9853515625,102.2601089477539,219488,63848,70.91,-47.69590377807617,9.299363136291504,-22.259950291536573,2.0000782012939453,57.203402519226074,7.607312655775022,5.412707805633545,250.38772583007812,-180.15078735351562,199.66856384277344,-44.22317886352539,36.691734313964844,2.0,5.0,340,325,0,0,0,0,0,0,219148,63523
scene_1,frame_043,43,/content/hackathon/processed/scene_1/frame_043.npz,/content/hackathon/cleaned/scene_1/frame_043.npz,-52633.39453125,-65518.22265625,10076.095703125,-152.75674438476562,273270,128311,53.05,-36.03340148925781,73.73649597167969,-22.943585474164152,2.000041961669922,100.46374320983887,6.646960887737768,30.846755981445312,299.7523193359375,-185.22976684570312,201.45716857910156,-33.21566390991211,82.4331283569336,2.0,5.0,0,0,743,504,0,0,1913,1711,270614,126096
scene_1,frame_044,44,/content/hackathon/processed/scene_1/frame_044.npz,/content/hackathon/cleaned/scene_1/frame_044.npz,-50740.296875,37300.12890625,10000.0,22.188213348388672,278181,125642,54.83,-55.116886138916016,26.83612060546875,-31.619570434951772,2.0000267028808594,80.47601699829102,8.071587322196407,10.34849739074707,294.9014587402344,-204.36061096191406,197.7735137939453,-52.45222473144531,50.36653137207031,2.0,5.0,282,275,354,343,140,124,57026,43029,220379,81871
scene_1,frame_045,45,/content/hackathon/processed/scene_1/frame_045.npz,/content/hackathon/cleaned/scene_1/frame_045.npz,-50492.9296875,62578.98828125,10000.0,98.89835357666016,241937,93127,61.51,-31.548337936401367,5.614887714385986,-22.00899425285216,2.0000553131103516,18.44192600250244,7.35437458137683,39.21437072753906,147.27841186523438,-112.61797332763672,111.33708190917969,-29.52373504638672,14.571078300476074,2.0,5.0,0,0,0,0,0,0,0,0,241937,93127
scene_1,frame_046,46,/content/hackathon/processed/scene_1/frame_046.npz,/content/hackathon/cleaned/scene_1/frame_046.npz,-50246.81640625,-13530.9853515625,10000.0,147.1187286376953,253998,123616,51.33,-47.410804748535156,9.933755874633789,-24.917782505949344,2.000004768371582,29.402758598327637,7.718448430638282,9.464807510375977,296.7716369628906,-196.65155029296875,201.8852081298828,-43.83933639526367,15.367164611816406,2.0,5.0,0,0,1058,1044,345,313,53417,41133,199178,81126
scene_1,frame_047,47,/content/hackathon/processed/scene_1/frame_047.npz,/content/hackathon/cleaned/scene_1/frame_047.npz,-50246.3515625,-6836.97265625,10000.0,-102.770263671875,250638,113067,54.89,-41.38180923461914,32.46257019042969,-25.211047791572103,2.000143051147461,74.03810691833496,10.991102627260007,31.18630027770996,285.0801696777344,-200.91175842285156,194.62301635742188,-31.174697875976562,42.30073928833008,2.0,5.0,176,160,100,82,0,0,21161,15253,229201,97572
scene_1,frame_048,48,/content/hackathon/processed/scene_1/frame_048.npz,/content/hackathon/cleaned/scene_1/frame_048.npz,-49352.19921875,41525.12890625,10000.0,-91.1578140258789,238035,97425,59.07,-61.50099182128906,12.986024856567383,-39.49335363033722,2.000102996826172,33.52439498901367,10.16244713115988,32.248748779296875,297.09527587890625,-188.84486389160156,199.0692901611328,-59.133399963378906,24.59295654296875,2.0,5.0,0,0,357,343,163,149,35101,30480,202414,66453
scene_1,frame_049,49,/content/hackathon/processed/scene_1/frame_049.npz,/content/hackathon/cleaned/scene_1/frame_049.npz,-48142.8125,-66818.2890625,13646.443359375,-160.40576171875,202382,88731,56.16,-70.87456512451172,14.290345191955566,-53.21144390196205,2.00006103515625,111.67850494384766,7.10496420939879,104.6449966430664,292.84124755859375,-193.06356811523438,196.92880249023438,-67.24707794189453,59.296531677246094,2.0,5.0,0,0,259,187,0,0,1444,1344,200679,87200
scene_1,frame_050,50,/content/hackathon/processed/scene_1/frame_050.npz,/content/hackathon/cleaned/scene_1/frame_050.npz,-47861.19921875,-6112.09375,10000.0,-119.46662902832031,243971,103246,57.68,-55.697418212890625,29.245195388793945,-26.5488330033777,2.0000991821289062,76.21455764770508,10.372947389720201,-113.48394012451172,299.3551330566406,-236.907470703125,171.72616577148438,-42.40084457397461,44.492156982421875,2.0,5.0,273,244,214,185,180,154,12072,10842,231232,91821
scene_1,frame_051,51,/content/hackathon/processed/scene_1/frame_051.npz,/content/hackathon/cleaned/scene_1/frame_051.npz,-45510.16015625,-66656.1484375,13259.7880859375,-161.97438049316406,205953,89480,56.55,-75.30982971191406,31.259418487548828,-49.9660814606032,2.000001907348633,112.77015686035156,6.83108933991738,-220.52223205566406,297.8797912597656,-199.52279663085938,199.96176147460938,-73.2928695678711,64.57942962646484,2.0,5.0,0,0,242,141,0,0,1010,885,204701,88454
scene_1,frame_052,52,/content/hackathon/processed/scene_1/frame_052.npz,/content/hackathon/cleaned/scene_1/frame_052.npz,-44104.82421875,30009.3203125,10000.0,-7.518002510070801,231679,83749,63.85,-52.658164978027344,2.1502206325531006,-39.32034064832032,2.000019073486328,120.12598037719727,8.384166015648379,56.25452423095703,297.3363342285156,-202.49508666992188,201.61776733398438,-48.817237854003906,76.4908218383789,2.0,5.0,0,0,2235,1689,2980,1838,1394,1210,225070,79012
scene_1,frame_053,53,/content/hackathon/processed/scene_1/frame_053.npz,/content/hackathon/cleaned/scene_1/frame_053.npz,-43947.515625,14946.05078125,10000.0,-105.42675018310547,233225,86682,62.83,-46.17422866821289,55.142608642578125,-34.75984703160672,2.000059127807617,105.27650833129883,8.726844831189489,43.40981674194336,299.3885803222656,-201.5027313232422,190.8597412109375,-42.003414154052734,82.77486419677734,2.0,5.0,6879,5289,725,442,727,638,1258,1170,223636,79143
scene_1,frame_054,54,/content/hackathon/processed/scene_1/frame_054.npz,/content/hackathon/cleaned/scene_1/frame_054.npz,-42335.97265625,-15939.1611328125,10000.0,160.53561401367188,236315,127887,45.88,-47.05256652832031,46.66635513305664,-20.939620719139512,2.0000476837158203,82.06245040893555,7.521634945394176,28.186147689819336,293.70361328125,-193.28179931640625,205.00833129882812,-41.14815139770508,57.08751678466797,2.0,5.0,0,0,510,415,93,85,7427,6707,228285,120680
scene_1,frame_055,55,/content/hackathon/processed/scene_1/frame_055.npz,/content/hackathon/cleaned/scene_1/frame_055.npz,-42076.87109375,-1061.840087890625,10000.0,-129.26138305664062,240221,119851,50.11,-41.2851448059082,47.34721374511719,-28.64274352398998,2.00018310546875,92.21107482910156,8.351842266145015,36.18537521362305,295.5802307128906,-190.3861846923828,188.85865783691406,-37.88904571533203,69.59207916259766,2.0,5.0,0,0,340,329,126,118,4530,4140,235225,115264
scene_1,frame_056,56,/content/hackathon/processed/scene_1/frame_056.npz,/content/hackathon/cleaned/scene_1/frame_056.npz,-36038.51953125,-14631.396484375,10000.0,-40.15648651123047,263309,104581,60.28,-48.282615661621094,60.88275909423828,-34.04465584352644,2.0000038146972656,106.22061920166016,9.343790166393463,63.81810760498047,299.8445129394531,-218.8761749267578,198.99554443359375,-43.93231964111328,93.93556213378906,2.0,5.0,106,102,734,733,0,0,7470,6933,254999,96813
